UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  1 21:05 ?        00:00:08 /sbin/init
root           2       0  0 21:05 ?        00:00:00 [kthreadd]
root           3       2  0 21:05 ?        00:00:00 [rcu_gp]
root           4       2  0 21:05 ?        00:00:00 [rcu_par_gp]
root           6       2  0 21:05 ?        00:00:00 [kworker/0:0H-kblockd]
root           8       2  0 21:05 ?        00:00:00 [kworker/u4:0-events_unbound]
root           9       2  0 21:05 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 21:05 ?        00:00:00 [ksoftirqd/0]
root          11       2  0 21:05 ?        00:00:00 [rcu_sched]
root          12       2  0 21:05 ?        00:00:00 [migration/0]
root          13       2  0 21:05 ?        00:00:00 [idle_inject/0]
root          14       2  0 21:05 ?        00:00:00 [cpuhp/0]
root          15       2  0 21:05 ?        00:00:00 [cpuhp/1]
root          16       2  0 21:05 ?        00:00:00 [idle_inject/1]
root          17       2  0 21:05 ?        00:00:04 [migration/1]
root          18       2  0 21:05 ?        00:00:00 [ksoftirqd/1]
root          20       2  0 21:05 ?        00:00:00 [kworker/1:0H-kblockd]
root          21       2  0 21:05 ?        00:00:00 [kdevtmpfs]
root          22       2  0 21:05 ?        00:00:00 [netns]
root          23       2  0 21:05 ?        00:00:00 [rcu_tasks_kthre]
root          24       2  0 21:05 ?        00:00:00 [kauditd]
root          25       2  0 21:05 ?        00:00:00 [khungtaskd]
root          26       2  0 21:05 ?        00:00:00 [oom_reaper]
root          27       2  0 21:05 ?        00:00:00 [writeback]
root          28       2  0 21:05 ?        00:00:00 [kcompactd0]
root          29       2  0 21:05 ?        00:00:00 [ksmd]
root          30       2  0 21:05 ?        00:00:00 [khugepaged]
root          35       2  0 21:05 ?        00:00:00 [kworker/1:1-events]
root         123       2  0 21:05 ?        00:00:00 [kintegrityd]
root         124       2  0 21:05 ?        00:00:00 [kblockd]
root         125       2  0 21:05 ?        00:00:00 [blkcg_punt_bio]
root         126       2  0 21:05 ?        00:00:00 [tpm_dev_wq]
root         127       2  0 21:05 ?        00:00:00 [ata_sff]
root         128       2  0 21:05 ?        00:00:00 [md]
root         129       2  0 21:05 ?        00:00:00 [edac-poller]
root         130       2  0 21:05 ?        00:00:00 [devfreq_wq]
root         131       2  0 21:05 ?        00:00:00 [watchdogd]
root         135       2  0 21:05 ?        00:00:00 [kswapd0]
root         136       2  0 21:05 ?        00:00:00 [ecryptfs-kthrea]
root         139       2  0 21:05 ?        00:00:00 [kthrotld]
root         140       2  0 21:05 ?        00:00:00 [acpi_thermal_pm]
root         141       2  0 21:05 ?        00:00:00 [scsi_eh_0]
root         142       2  0 21:05 ?        00:00:00 [scsi_tmf_0]
root         143       2  0 21:05 ?        00:00:00 [scsi_eh_1]
root         144       2  0 21:05 ?        00:00:00 [scsi_tmf_1]
root         145       2  0 21:05 ?        00:00:00 [vfio-irqfd-clea]
root         146       2  0 21:05 ?        00:00:00 [kworker/u4:2-events_power_efficient]
root         147       2  0 21:05 ?        00:00:00 [ipv6_addrconf]
